order_id,product_name,category,order_date,revenue,region
1,Chicken,Meat,2023-12-05,443.177076289461,West
2,Eggs,Dairy,2023-09-30,263.980107930289,Central
3,Vegetables,Meat,2023-03-03,57.0654033976177,South
4,Fruits,Dairy,2023-02-01,137.527288957198,East
5,Eggs,Bakery,2023-07-20,290.176776049002,South
6,Rice,Produce,2023-01-13,455.959839105199,Central
7,Fruits,Produce,2023-02-05,368.282796542582,Central
8,Milk,Grains,2023-07-26,8.62648473000672,West
9,Chicken,Meat,2023-03-29,302.129810364362,South
10,Fruits,Meat,2023-09-24,176.087010641963,North
11,Milk,Produce,2023-05-12,257.311018183066,Central
12,Rice,Bakery,2023-11-11,449.743614022029,North
13,Chicken,Dairy,2023-11-19,477.70916676473,North
14,Chicken,Produce,2023-03-28,284.768248836543,South
15,Eggs,Grains,2023-11-05,388.462102517275,West
16,Bread,Grains,2023-10-28,215.494355846573,North
17,Milk,Dairy,2023-02-05,140.211342345935,North
18,Milk,Produce,2023-07-11,166.674970121485,East
19,Vegetables,Bakery,2023-12-22,88.3278505128612,Central
20,Eggs,Bakery,2023-05-12,393.439088374169,North
21,Vegetables,Produce,2023-08-03,343.796545576241,North
22,Chicken,Dairy,2023-01-24,173.261221111821,South
23,Milk,Meat,2023-03-30,136.862259581808,North
24,Chicken,Dairy,2023-10-26,143.706091585362,South
25,Bread,Bakery,2023-09-19,141.733952089601,Central
26,Fruits,Meat,2023-10-27,426.314817568455,South
27,Eggs,Dairy,2023-01-15,348.480391575629,East
28,Rice,Produce,2023-07-18,260.92572933275,West
29,Bread,Meat,2023-02-08,52.1135277093806,West
30,Eggs,Bakery,2023-03-09,111.876313831726,Central
31,Milk,Bakery,2023-05-09,493.120060482378,East
32,Milk,Meat,2023-02-18,91.9751090727299,North
33,Chicken,Meat,2023-11-24,238.789495056395,East
34,Eggs,Bakery,2023-04-23,490.57556433245,East
35,Rice,Bakery,2023-08-30,144.114861110833,North
36,Chicken,Produce,2023-06-16,292.537216652379,West
37,Vegetables,Meat,2023-07-05,269.521100943296,West
38,Milk,Grains,2023-10-09,48.1914726451375,East
39,Rice,Grains,2023-11-14,217.729541001614,East
40,Fruits,Dairy,2023-07-19,124.551083397616,West
41,Eggs,Produce,2023-04-26,420.015233434281,North
42,Milk,Grains,2023-07-11,131.606394656767,Central
43,Vegetables,Grains,2023-12-12,10.0886140272223,West
44,Chicken,Produce,2023-04-07,101.482316942927,South
45,Fruits,Bakery,2023-09-02,74.2724428735314,West
46,Bread,Dairy,2023-02-21,192.796268040143,South
47,Vegetables,Produce,2023-06-29,256.592032411462,South
48,Rice,Meat,2023-03-16,145.007193994586,Central
49,Chicken,Bakery,2023-01-12,499.574246487831,East
50,Fruits,Produce,2023-12-22,429.416072840084,South
51,Vegetables,Meat,2023-05-12,101.308180765057,Central
52,Fruits,Bakery,2023-05-13,300.968422390219,East
53,Fruits,Dairy,2023-10-01,56.4859863670138,Central
54,Bread,Produce,2023-12-27,14.8420440777336,Central
55,Eggs,Grains,2023-12-21,6.29745202702081,North
56,Bread,Produce,2023-06-11,498.30224316804,Central
57,Vegetables,Grains,2023-07-02,253.851943059818,West
58,Vegetables,Grains,2023-03-08,400.202370777709,East
59,Bread,Grains,2023-12-21,322.146466173142,West
60,Bread,Meat,2023-02-08,208.715085637501,East
61,Fruits,Dairy,2023-05-16,15.7932883773794,South
62,Milk,Produce,2023-11-29,140.732117132614,East
63,Vegetables,Bakery,2023-03-01,76.6096865330166,Central
64,Rice,Dairy,2023-04-18,396.601949558062,Central
65,Rice,Bakery,2023-08-14,326.811004430895,East
66,Rice,Meat,2023-12-01,369.605982869448,West
67,Chicken,Dairy,2023-01-08,462.099338082205,South
68,Bread,Meat,2023-05-30,23.3489591121255,East
69,Vegetables,Dairy,2023-05-22,182.209027631724,West
70,Milk,Bakery,2023-04-08,413.528583994196,South
71,Milk,Bakery,2023-12-16,368.101605728454,Central
72,Rice,Grains,2023-03-08,242.240749366404,North
73,Bread,Grains,2023-10-23,328.311964377083,West
74,Chicken,Bakery,2023-02-08,194.153501719263,South
75,Bread,Dairy,2023-03-08,57.8369627082943,Central
76,Milk,Dairy,2023-10-16,142.812918714735,South
77,Bread,Produce,2023-11-27,278.630596017029,West
78,Bread,Bakery,2023-11-18,328.172645738442,East
79,Fruits,Dairy,2023-01-23,339.428996703061,Central
80,Vegetables,Grains,2023-08-29,328.024101414151,South
81,Chicken,Produce,2023-03-19,171.803620279186,East
82,Bread,Produce,2023-10-28,498.134437313566,Central
83,Milk,Grains,2023-01-24,175.036785274964,Central
84,Rice,Dairy,2023-11-15,417.828834751657,North
85,Eggs,Bakery,2023-05-21,476.059612057861,North
86,Milk,Bakery,2023-10-18,202.464012805504,South
87,Bread,Meat,2023-10-12,87.3436107301683,West
88,Rice,Dairy,2023-09-11,451.137771818555,East
89,Rice,Dairy,2023-05-20,239.696053351904,South
90,Eggs,Bakery,2023-11-07,27.2783241174951,East
91,Vegetables,Dairy,2023-01-27,251.734466571902,West
92,Vegetables,Bakery,2023-05-25,228.230562316209,South
93,Eggs,Bakery,2023-04-29,110.957359154296,West
94,Rice,Bakery,2023-07-09,400.604868428017,North
95,Vegetables,Grains,2023-03-05,84.0582268060975,West
96,Rice,Produce,2023-01-21,119.036320624987,South
97,Fruits,Grains,2023-12-04,437.950180654317,North
98,Fruits,Bakery,2023-12-25,151.691381369438,North
99,Fruits,Meat,2023-02-02,215.150561167995,East
100,Eggs,Meat,2023-04-04,66.8137511568108,West
101,Chicken,Produce,2023-03-03,371.080743359409,East
102,Bread,Bakery,2023-03-26,440.352294710802,South
103,Chicken,Produce,2023-01-04,175.099318003126,South
104,Fruits,Dairy,2023-10-28,82.8736635873585,North
105,Rice,Bakery,2023-02-22,74.1294175191058,North
106,Fruits,Meat,2023-07-08,492.387310390497,West
107,Rice,Grains,2023-06-24,131.285544981545,West
108,Milk,Grains,2023-03-07,368.24454772486,West
109,Milk,Bakery,2023-06-19,321.979463932072,East
110,Vegetables,Produce,2023-05-29,295.409612970073,Central
111,Chicken,Grains,2023-12-19,446.731433330163,Central
112,Fruits,Bakery,2023-07-06,214.130838824852,West
113,Fruits,Grains,2023-10-05,207.274334216528,North
114,Chicken,Produce,2023-05-24,214.560738732056,East
115,Chicken,Dairy,2023-06-20,217.402117554807,South
116,Chicken,Grains,2023-07-20,14.9307975405664,West
117,Eggs,Meat,2023-06-16,30.7299235148935,East
118,Eggs,Produce,2023-07-26,401.62932007063,South
119,Chicken,Dairy,2023-05-11,291.838932982908,Central
120,Eggs,Bakery,2023-01-16,216.21472802077,South
121,Bread,Grains,2023-09-23,457.911012904014,West
122,Eggs,Bakery,2023-07-18,165.554369383366,Central
123,Chicken,Bakery,2023-10-28,334.926988640866,North
124,Vegetables,Produce,2023-05-27,399.081532446888,Central
125,Bread,Produce,2023-12-20,234.563204470647,West
126,Eggs,Grains,2023-02-22,182.673043393916,North
127,Vegetables,Bakery,2023-03-04,19.2317412184076,South
128,Vegetables,Grains,2023-09-26,53.2015982009048,South
129,Chicken,Produce,2023-04-27,443.112848403293,East
130,Fruits,Dairy,2023-03-20,197.220371206161,Central
131,Milk,Meat,2023-05-08,459.212033226204,East
132,Bread,Bakery,2023-02-12,333.276365077994,North
133,Vegetables,Meat,2023-08-18,490.240499365476,Central
134,Fruits,Dairy,2023-11-30,378.330517063707,West
135,Fruits,Meat,2023-08-14,5.52759118506191,Central
136,Milk,Grains,2023-01-27,235.418000947183,South
137,Vegetables,Grains,2023-12-30,408.646779882925,East
138,Vegetables,Bakery,2023-08-20,143.634945238974,East
139,Rice,Meat,2023-03-29,357.685298122951,East
140,Vegetables,Produce,2023-03-31,143.347555401742,South
141,Chicken,Dairy,2023-08-18,80.8666644799045,South
142,Milk,Dairy,2023-10-11,19.0887353611627,North
143,Rice,Meat,2023-09-03,459.83214973757,West
144,Bread,Produce,2023-08-19,427.557804593339,Central
145,Vegetables,Bakery,2023-07-31,198.551884178022,East
146,Eggs,Grains,2023-01-17,34.6763309521658,North
